"Proportion of earned income sectors by Year, Electoral Division and"
"statistical indicator"

" "," ","Agriculture, Forestry and Fishing (A) (%)","Construction (F) (%)","Financial, Real Estate, Administrative and Services (K,L,N,S) (%)","ICT, Scientific and Recreation (J,M,R) (%)","Industry (B,C,D,E) (%)","Public Service, Education and Health (O,P,Q) (%)","Wholesale, Transport and Accomodation (G,H,I) (%)"
"2016"
" ","043 Templeogue-Limekiln, South Dublin",0.4,5.5,19.8,17.1,8.3,28.4,20.6
" ","044 Templeogue-Orwell, South Dublin",0.5,4.6,21.8,21.4,7.2,27.3,17.0
" ","045 Templeogue-Osprey, South Dublin",..,5.5,20.9,17.5,6.9,34.4,14.6
" ","046 Templeogue Village, South Dublin",0.1,3.3,23.1,24.1,6.3,29.2,13.8
" ","047 Terenure-Cherryfield, South Dublin",..,5.1,19.7,18.1,8.9,29.3,18.9
" ","048 Terenure-Greentrees, South Dublin",0.7,5.2,22.1,19.6,6.8,29.9,15.7
" ","049 Terenure-St. James, South Dublin",..,5.9,17.9,16.0,9.0,28.5,22.8
" ","001 Airport, Fingal",..,1.8,20.3,19.4,5.2,27.0,26.3
" ","002 Balbriggan Rural, Fingal",0.6,4.1,19.1,12.3,7.9,27.4,28.6
" ","003 Balbriggan Urban, Fingal",0.5,4.5,18.0,11.3,9.7,29.9,26.1
" ","004 Baldoyle, Fingal",0.2,3.5,22.6,22.1,6.7,25.7,19.1
" ","005 Balgriffin, Fingal",0.9,3.4,24.4,22.5,7.1,19.7,22.0
" ","006 Ballyboghil, Fingal",4.3,3.8,16.8,12.5,8.6,26.1,27.9
" ","007 Balscadden, Fingal",3.4,7.8,16.0,14.7,11.4,26.8,19.9
" ","008 Blanchardstown-Abbotstown, Fingal",0.3,2.1,18.5,23.2,6.3,33.1,16.6
" ","009 Blanchardstown-Blakestown, Fingal",0.1,5.9,18.9,16.6,7.5,28.0,22.9
" ","010 Blanchardstown-Coolmine, Fingal",0.3,4.7,19.5,17.2,6.4,29.4,22.5
" ","011 Blanchardstown-Corduff, Fingal",0.6,6.2,17.4,12.3,5.0,30.1,28.4
" ","012 Blanchardstown-Delwood, Fingal",0.3,3.2,22.2,20.2,6.2,30.4,17.6
