Electoral Division,Highest Education Level,Total Hours Worked
028 Girley,28,160
029 Kilmainham,47,284
030 Kilskeer,26,156
031 Loughan,27,158
032 Maperath,39,180
033 Martry,56,322
034 Moybolgue,25,125
035 Moynalty,43,270
036 Newcastle,34,190
037 Newtown,55,357
038 Nobber,34,336
039 Posseckstown,23,89
040 Staholmog,27,164
041 Tailtin,63,389
042 Trohanny,21,144
043 Ardcath,130,845
044 Duleek,283,"2,234"
045 Julianstown,486,"3,956"
046 Mellifont,36,245
047 St. Mary's (Part Rural),709,"5,019"
048 Stamullin,290,"2,132"
049 Ardbraccan,149,862
050 Ardmulchan,68,447
051 Bective,74,475
052 Castletown,68,408
053 Domhnach Phádraig,127,764
054 Kentstown,129,925
055 Navan Rural,"1,596","11,246"
056 Painestown,85,517
057 Rathkenny,38,266
058 Slane,108,775
059 Stackallan,51,277
060 Tara,101,494
061 Crossakeel,27,226
062 Crosskeys,23,138
063 Killallon,28,133
064 Killeagh,29,162
065 Knocklough,17,88
066 Moylagh,27,177
067 Oldcastle,154,856
068 Stonefield,11,94
069 Ardnamullan,57,335
070 Baile Átha Buí,166,"1,029"
071 Ballyboggan,24,215
072 Ballyconnell,57,329
073 Castlejordan,18,160
074 Castlerickard,162,907
075 Cloghbrack,47,198
076 Clonmacduff,19,208
077 Gallow,81,444
078 Galtrim,65,327
079 Grennanstown,83,535
080 Hill of Down,38,241
081 Innfield,332,"1,884"
082 Cill Bhríde,33,214
083 Kilcooly,18,151
084 Kildalky,86,507
085 Killaconnigan,100,801
086 Killyon,30,218
087 Laracor,36,274
088 Rahinstown,36,223
089 Rathmolyon,107,598
090 An Ráth Mhór,59,432
091 Summerhill,91,568
092 Trim Rural,533,"3,685"
001 Birr Urban,218,"1,589"
002 Tullamore Urban,525,"4,253"
003 Ballycumber,49,280
004 Banagher,146,736
005 Birr Rural,66,471
006 Broughal,6,59
007 Cloghan,62,386
008 Clonmacnoise,15,150
009 Derrinboy,24,134
010 Derryad,19,113
011 Doon,37,213
012 Dromoyle,14,135
013 Drumcullen,35,180
014 Eglish,11,66
015 Ferbane,84,461
016 Gallen,35,174
017 Hinds,26,149
018 Huntston,35,136
019 Kilcolman,29,168
020 Kilcormac,77,493
021 Killyon,15,119
022 Kinnitty,25,216
023 Knockbarron,18,88
024 Lea,15,127
025 Letter,7,62
026 Lumcloon,24,142
027 Lusmagh,37,227
028 Mounterin,7,103
029 Moyclare,49,248
030 Seirkieran,31,201
031 Shannonbridge,23,101
032 Shannonharbour,18,141
033 Srah,41,218
035 Ballyburly,88,468
036 Ballymacwilliam,42,250
037 Bracknagh,78,403
038 Clonbulloge,42,290
039 Clonmore,24,168
040 Croghan,23,230
041 Edenderry Rural,52,320
042 Edenderry Urban,363,"2,589"
034 Esker / Ballaghassaan,32,192
044 Knockdrin,11,68
045 Monasteroris,56,336
