Electoral Division,Household Income
"072 Clongeen, Co. Wexford",35228
"113 Kilscoran, Co. Wexford",35228
"120 Ayle, Co. Clare",35226
"010 Kilcommock, Co. Longford",35200
"006 Ballinacurra B, Limerick City",35197
"108 Kilmainham A, Dublin City",35193
"116 Kylemore, Dublin City",35168
"070 Kilmore B, Dublin City",35158
"016 Churchfield, Cork City",35154
999 Loughill / Cloonacool,35150
"002 Bailieborough, Co. Cavan",35142
"022 Keshcarrigan, Co. Leitrim",35140
"021 Ballybay Rural, Co. Monaghan",35135
"052 Finglas North B, Dublin City",35123
"058 Lissadill West, Co. Sligo",35103
999 Ceannúigh / Máistir Gaoithe,35088
"008 Midleton Urban, Co. Cork",35056
"016 Lorrha East, North Tipperary",35046
"096 Carna, Dublin City",35044
"038 Currin, Co. Monaghan",35036
"050 Gleann Gheis, Co. Donegal",35035
"050 Coonogue, Co. Carlow",35030
"070 Kilfiddane, Co. Clare",34992
"124 Rathmelton, Co. Donegal",34986
"024 Creggan Upper, Co. Louth",34967
"098 Ballyegan, Co. Kerry",34962
"295 Cloonkeen, Co. Cork",34946
"079 Kilbeggan, Co. Westmeath",34939
"077 Roosky, Co. Leitrim",34931
"103 Aghamore, Co. Mayo",34926
"002 Kilkenny No. 2 Urban, Co. Kilkenny",34923
"069 Boyounagh, Co. Galway",34922
"006 An Baile Breac, Co. Kerry",34915
"033 Srah, Co. Offaly",34908
"009 Attymass West, Co. Mayo",34908
"059 Roscrea, North Tipperary",34883
"005 Callan Urban, Co. Kilkenny",34881
"021 Enniscorthy Rural (Part Urban), Co. Wexford",34840
"104 Decies, Dublin City",34826
"046 Annagh, Co. Clare",34817
"047 Banawn, Co. Kerry",34812
"053 St. Patrick's C, Cork City",34798
"001 Ballinamore, Co. Leitrim",34773
"014 Dysart, Co. Roscommon",34772
"088 Mintiaghs, Co. Donegal",34762
"066 Castleteheen, Co. Roscommon",34759
"099 Clonoulty East, South Tipperary",34755
"067 Togher B, Cork City",34750
"053 Clooney, Co. Clare",34727
"038 Estersnow, Co. Roscommon",34716
"032 Breedoge, Co. Roscommon",34713
"075 Inistioge, Co. Kilkenny",34697
"055 Rathcline, Co. Longford",34679
"132 Ballyheige, Co. Kerry",34675
"102 Causeway, Co. Kerry",34662
"038 Cloonlogher, Co. Leitrim",34662
"064 Castleplunket, Co. Roscommon",34644
"165 Knockatooan, Co. Cork",34626
"103 Cloontubbrid, Co. Kerry",34614
"067 Ballymoe, Co. Galway",34604
"045 Newbliss, Co. Monaghan",34603
"034 Dún Chaoin, Co. Kerry",34598
"045 Mardyke, Cork City",34597
"048 Drumlish, Co. Longford",34596
"039 Ardamine, Co. Wexford",34584
"137 Scarriff, Co. Clare",34560
"037 Aghaboy, Co. Longford",34556
"048 Killarga, Co. Leitrim",34555
"141 Cloonkeen, Co. Galway",34552
"090 Garrangibbon, South Tipperary",34550
"030 Críoch na Sméar, Co. Donegal",34543
"151 New Birmingham, South Tipperary",34535
"051 An Geata Mór Thuaidh, Co. Mayo",34497
"074 Graiguenamanagh, Co. Kilkenny",34490
"001 Birr Urban, Co. Offaly",34479
"050 Kinturk, Co. Westmeath",34456
"020 Evergreen, Cork City",34454
"102 Newcastle Urban, Co. Limerick",34453
"111 Killury, Co. Kerry",34435
"148 Treantaghmucklagh, Co. Donegal",34435
"147 Louisburgh, Co. Mayo",34433
"191 Cloonkeen, Co. Galway",34419
"123 Shronowen, Co. Kerry",34415
"055 Shandon A, Cork City",34412
"112 Kilbeagh, Co. Mayo",34399
"091 Kilmihil, Co. Clare",34386
"050 Dawros, Co. Kerry",34383
"032 Sraheen, Co. Mayo",34346
"057 South Gate A, Cork City",34345
"055 Artagh North, Co. Roscommon",34333
"008 Clontuskert, Co. Galway",34332
"036 Clones Rural (Part Rural), Co. Monaghan",34314
"127 Rosnakill, Co. Donegal",34309
"112 An Cheathrú Chaol, Co. Donegal",34308
"029 Lislea, Co. Longford",34291
"080 Kilmokea, Co. Wexford",34279
"051 Gleann Léithín, Co. Donegal",34260
"034 Cabra West B, Dublin City",34222
"085 Ballyhaunis, Co. Mayo",34215
"071 Kilmore C, Dublin City",34210
"114 Kiltomy, Co. Kerry",34196
"085 Eskey, Co. Cavan",34191
"015 Blanchardstown-Tyrrelstown, Fingal",34167
"082 Doonbeg, Co. Clare",34167
"048 Tullow Urban, Co. Carlow",34153
"017 Bawnboy, Co. Cavan",34152
"052 Manorhamilton, Co. Leitrim",34128
"057 Kilgarvan, Co. Kerry",34125
"129 Allt na Péiste, Co. Donegal",34123
"010 Ballybough B, Dublin City",34109
"024 Cleggan, Co. Galway",34103
"034 Maíros, Co. Galway",34094
"023 Kiltubbrid, Co. Leitrim",34091
"149 Urney West, Co. Donegal",34088
"063 The Lough, Cork City",34086
"239 Rathluirc, Co. Cork",34086
"070 Ballylanders, Co. Limerick",34048
"051 Longford Rural (Part Urban), Co. Longford",34047
"062 Kilcockan, Co. Waterford",34045
"048 Baile na Finne, Co. Donegal",34041
"001 Athlone East Urban, Co. Westmeath",34035
"029 Ballyfermoyle, Co. Roscommon",34035
"077 Ballygarden, Co. Roscommon",34026
"010 Cliff, Co. Donegal",34025
"055 Béal an Mhuirthead, Co. Mayo",34015
"113 Creamhghort, Co. Donegal",34009
"099 Mullagh, Co. Clare",34007
"022 Laghy, Co. Donegal",34007
"297 Dromdaleague North, Co. Cork",34003
"003 Bray No. 1, Co. Wicklow",33988
"033 Tullaghan, Co. Leitrim",33983
"119 Swineford, Co. Mayo",33973
"033 Street, Co. Westmeath",33970
"084 Caher, Co. Limerick",33962
"001 Athy East Urban, Co. Kildare",33959
"039 Collinstown, Co. Westmeath",33954
"030 Castlegregory, Co. Kerry",33947
"015 Carrick-on-Shannon, Co. Leitrim",33947
"134 Woodford, Co. Galway",33942
"116 Kiltamagh, Co. Mayo",33920
"007 Mallow South Urban, Co. Cork",33916
"021 Kilfian East, Co. Mayo",33914
"224 Buttevant, Co. Cork",33897
"015 Corkermore, Co. Donegal",33897
"079 Glennagannon, Co. Donegal",33894
"039 Coonard, Co. Mayo",33891
"023 Drummeel, Co. Longford",33879
"095 Kilglass South, Co. Roscommon",33844
"008 Rathvilly, Co. Carlow",33833
"013 Mountelva, Co. Clare",33814
"022 Wellpark, Galway City",33810
999 Aghalateeve / Aghanlish,33805
"039 Scainimh, Co. Galway",33804
"014 Ballinalee, Co. Longford",33797
"094 Kilglass North, Co. Roscommon",33789
"050 Pouladuff B, Cork City",33775
"004 Ballymahon, Co. Longford",33764
"026 Cushkillary, Co. Galway",33762
"056 Kenmare, Co. Kerry",33756
"047 Freshford, Co. Kilkenny",33754
"052 St. Patrick's B, Cork City",33748
"041 Kilmallock, Co. Limerick",33745
"107 Manorcunningham, Co. Donegal",33744
"012 Blackpool B, Cork City",33719
"075 Fethard, Co. Wexford",33700
"063 Carrowduff, Co. Roscommon",33693
"015 Ballymuigh, Co. Longford",33689
"140 Glenhest, Co. Mayo",33689
"067 Inns Quay B, Dublin City",33680
"137 Drummin, Co. Mayo",33673
"153 Killahan, Co. Kerry",33660
"017 Aughris, Co. Sligo",33659
"025 Moher, Co. Leitrim",33655
"111 Kilmore, Co. Wexford",33648
"061 The Glen A, Cork City",33638
"080 Toberroe, Co. Galway",33636
"085 Ardmore, Co. Waterford",33614
"287 Aghadown South, Co. Cork",33588
"032 Newtownbarry, Co. Wexford",33578
"052 Cloonanaha, Co. Clare",33559
"001 Fair Gate, Co. Louth",33556
"057 Gleann Chaisil, Co. Mayo",33552
"051 Mahanagh, Co. Leitrim",33549
"001 Kilkenny No. 1 Urban, Co. Kilkenny",33538
"016 Glanbehy, Co. Kerry",33502
"002 Navan Urban, Co. Meath",33492
"080 Cloonfinlough, Co. Roscommon",33449
"196 Dunmore South, Co. Galway",33425
"056 Shinrone, Co. Offaly",33421
"056 Artagh South, Co. Roscommon",33395
"119 Killygarvan, Co. Donegal",33386
"114 Lady's Island, Co. Wexford",33380
"063 Milltown Malbay, Co. Clare",33367
"094 Glensharrold, Co. Limerick",33353
"001 Nenagh East Urban, North Tipperary",33306
"005 Clondalkin-Cappaghmore, South Dublin",33283
"290 Cléire, Co. Cork",33272
"116 Lislaughtin, Co. Kerry",33266
"071 Carnew, Co. Wicklow",33255
"118 Sonnagh, Co. Mayo",33245
"145 Farranrory, South Tipperary",33236
"018 Drumshanbo, Co. Leitrim",33227
"040 Comeragh, Co. Waterford",33222
"032 Rathowen, Co. Westmeath",33213
"029 Ards, Co. Donegal",33209
"032 Ahil, Co. Cork",33188
"061 An Machaire, Co. Donegal",33161
"034 Muinebeag (Bagenalstown) Urban, Co. Carlow",33154
"085 Clonmel East Urban, South Tipperary",33142
"020 Redwood, North Tipperary",33137
"080 Borris-in-Ossory, Co. Laois",33131
"180 Addergoole, Co. Galway",33111
"118 Rosslare, Co. Wexford",33083
"026 Farranferris C, Cork City",33058
"127 Urlee, Co. Kerry",33031
"067 Mountrath, Co. Laois",33029
"089 Rotunda B, Dublin City",33021
"009 Kilfree, Co. Sligo",33009
"076 Athleague West, Co. Roscommon",32997
"070 Fairymount, Co. Roscommon",32982
"013 Béal Deirg Mór, Co. Mayo",32980
"021 Carlingford, Co. Louth",32978
"031 Kinlough, Co. Leitrim",32954
"110 Derrylaur, Co. Galway",32947
"066 Togher A, Cork City",32934
"291 Carrigbaun, Co. Cork",32928
"027 Lackan South, Co. Mayo",32924
"028 Rathmacurkey, Co. Sligo",32904
"030 Meathas Truim, Co. Longford",32900
"016 Ballymun B, Dublin City",32891
"119 Merchants Quay A, Dublin City",32881
"037 Durrus West, Co. Cork",32846
"066 Mountmellick Urban, Co. Laois",32840
"008 Carrickboy, Co. Donegal",32836
"053 Bangor, Co. Mayo",32812
"073 Goresbridge, Co. Kilkenny",32803
"082 Tobercurry, Co. Sligo",32802
999 Inishcaltra North / Inishcaltra South,32793
"003 Templemore, North Tipperary",32756
"156 Ushers E, Dublin City",32750
"036 Belhavel, Co. Leitrim",32743
"030 Templeboy North, Co. Sligo",32724
"132 Cloghard, Co. Donegal",32719
"013 Newcastle, Galway City",32717
"008 Borrisokane, North Tipperary",32715
"020 Shantalla, Galway City",32700
"054 Tinnahinch, Co. Carlow",32685
"109 Killenaule, South Tipperary",32670
"056 Gleann na Muaidhe, Co. Mayo",32652
"022 Kiltoraght, Co. Clare",32649
"028 Ballyfarnan, Co. Roscommon",32649
"148 Newport East, Co. Mayo",32631
"152 An Crompán, Co. Galway",32629
"119 St. Helen's, Co. Wexford",32625
"110 Cuildoo, Co. Mayo",32606
"004 Na Beathacha, Co. Kerry",32598
"068 Inns Quay C, Dublin City",32561
"061 Carrigallen West, Co. Leitrim",32557
"145 Killanena, Co. Clare",32533
"016 Crossmolina North, Co. Mayo",32530
"160 Mount Eagle, Co. Kerry",32524
"003 Fermoy Urban, Co. Cork",32514
"119 Lixnaw, Co. Kerry",32513
"148 Gneeves, Co. Kerry",32513
"123 Millford, Co. Donegal",32505
"059 Bunnybeg, Co. Leitrim",32469
"082 Carrickbeg Urban, South Tipperary",32441
"137 Feddyglass, Co. Donegal",32380
"033 Caisleán na dTuath, Co. Donegal",32365
"072 Portlaoighise (Maryborough) Urban, Co. Laois",32358
"131 Clare Island, Co. Mayo",32343
"106 Ennismore, Co. Kerry",32337
"051 Dromore, Co. Kerry",32335
"055 Cill Charthaigh, Co. Donegal",32334
"130 Ardfert, Co. Kerry",32315
"025 Valencia, Co. Kerry",32312
"004 Thurles Urban, North Tipperary",32310
"125 Rathmullan, Co. Donegal",32308
"127 Aillemore, Co. Mayo",32294
"055 Greenane, Co. Kerry",32288
"023 Toghroinn Fhíonáin, Co. Kerry",32283
"130 Drummaan, Co. Clare",32269
"314 Dunmanus, Co. Cork",32269
"001 Ennis No. 1 Urban, Co. Clare",32260
"027 Granard Urban, Co. Longford",32252
"175 Portumna, Co. Galway",32246
"001 Sligo East, Co. Sligo",32243
"140 Brosna, Co. Kerry",32241
"065 Smithstown, Co. Clare",32227
"307 Tullagh, Co. Cork",32226
"319 Toormore, Co. Cork",32220
"141 Killygordon, Co. Donegal",32203
"022 Dalystown, Co. Longford",32200
"154 Clonfert East, Co. Cork",32190
"078 Shankill, Co. Galway",32158
"032 Deelis, Co. Kerry",32152
"090 Gort, Co. Galway",32152
"026 Ballinvoher, Co. Kerry",32099
"054 Ennistimon, Co. Clare",32080
"054 Newtown Forbes, Co. Longford",32076
"006 Coolavin, Co. Sligo",32054
"025 Clifden, Co. Galway",32025
"078 Abbeyfeale, Co. Limerick",31956
"036 Glenbrohane, Co. Limerick",31950
"058 Ballinlough, Co. Roscommon",31939
"073 Mountjoy A, Dublin City",31890
"052 Na Gleannta, Co. Donegal",31873
"022 Ferns, Co. Wexford",31817
"030 Rathoma, Co. Mayo",31810
"046 Latteragh, North Tipperary",31791
"214 Toberadosh, Co. Galway",31774
"090 Newtown Cunningham, Co. Donegal",31763
999 Firry / Newgrove,31747
"011 Ballintra, Co. Donegal",31742
"047 Drumgort, Co. Longford",31738
"001 Carrickmacross Urban, Co. Monaghan",31712
"088 Elia, Co. Roscommon",31702
"010 Cloghjordan, North Tipperary",31695
"078 Rowan, Co. Leitrim",31690
"036 Ballymote, Co. Sligo",31680
"122 Clogheen, South Tipperary",31657
"066 Banada, Co. Sligo",31600
"025 Easky West, Co. Sligo",31587
"058 Killilagh, Co. Clare",31561
"013 Kilshalvy, Co. Sligo",31549
"040 Drumkeeran, Co. Leitrim",31531
"035 Ballaghameehan, Co. Leitrim",31528
"138 Emlagh, Co. Mayo",31510
"009 Ballybough A, Dublin City",31504
"003 Ennis No. 3 Urban, Co. Clare",31502
"143 Glendree, Co. Clare",31500
"019 Castleconor East, Co. Sligo",31494
"168 Eyrecourt, Co. Galway",31484
"143 Buolick, South Tipperary",31482
"010 Youghal Urban, Co. Cork",31464
"150 Kilflyn, Co. Kerry",31460
"095 Knocknaboley, Co. Clare",31421
"065 Castlereagh, Co. Roscommon",31387
"027 An Baile Dubh, Co. Kerry",31367
"097 Moveen, Co. Clare",31353
"015 Ferrybank, Waterford City",31323
"125 Kilcommon, South Tipperary",31319
"027 Clonskeagh-Belfield, Dún Laoghaire-Rathdown",31307
"028 Church Hill, Co. Monaghan",31280
"039 Knocknaheeny, Cork City",31262
"034 Dún Fionnachaidh, Co. Donegal",31260
"037 Machaire Chlochair, Co. Donegal",31239
"133 Clonleigh North, Co. Donegal",31235
"039 Kilfinnane, Co. Limerick",31217
"071 Frenchpark, Co. Roscommon",31209
"015 Ballyconnell, Co. Cavan",31199
"062 Achonry East, Co. Sligo",31151
"033 An Daingean, Co. Kerry",31142
"034 Gurranebraher A, Cork City",31140
"005 Baile an Sceilg, Co. Kerry",31130
"069 Buncrana Rural, Co. Donegal",31128
"003 Castlebar Urban, Co. Mayo",31124
"288 Bredagh, Co. Cork",31121
"026 Kilglass, Co. Sligo",31108
"112 Coolmountain, Co. Cork",31101
"147 Stranorlar, Co. Donegal",31095
"051 Kilcatherine, Co. Cork",31081
"093 Ardagh, Co. Kerry",31063
"006 Dundalk Urban No. 3, Co. Louth",31059
"004 Kinsale Urban, Co. Cork",31057
"067 Ballyliffin, Co. Donegal",31048
"052 Gorey Urban, Co. Wexford",31045
"013 Doire Fhíonáin, Co. Kerry",31036
"021 Ballynakill, Co. Galway",31024
"012 Lisdoonvarna, Co. Clare",31017
"023 Dromore, Co. Sligo",31005
"024 Teeranearagh, Co. Kerry",30985
"018 Paróiste San Nicoláis, Galway City",30979
"101 Carrig, Co. Kerry",30978
"072 Kiltullagh, Co. Roscommon",30970
"002 Cloverhill, Co. Leitrim",30931
"039 Cill Chuáin, Co. Kerry",30853
"038 Ticor South, Waterford City",30825
"088 Rotunda A, Dublin City",30822
"074 Castleforward, Co. Donegal",30802
"115 Kilmovee, Co. Mayo",30752
"022 Glentworth B, Limerick City",30724
"057 Killincooly, Co. Wexford",30720
"135 Mountshannon, Co. Clare",30679
"083 Illies, Co. Donegal",30667
"072 Glennamaddy, Co. Galway",30664
"098 Urlingford, Co. Kilkenny",30653
"015 An tImleach, Co. Kerry",30651
"316 Kilcoe, Co. Cork",30635
"076 Riverstown, Co. Leitrim",30635
"121 Taghmon, Co. Wexford",30633
"113 Kilkelly, Co. Mayo",30620
"045 Ceann Trá, Co. Kerry",30605
"038 Gurranebraher E, Cork City",30602
"066 Ballinastack, Co. Galway",30589
"051 St. Patrick's A, Cork City",30560
"058 Breandrum, Co. Leitrim",30560
"037 Inch, Co. Kerry",30559
"149 Camas, Co. Galway",30554
"118 Grianfort, Co. Donegal",30547
"090 Mullingar North Urban, Co. Westmeath",30544
"042 Glenade, Co. Leitrim",30517
"064 Aclare, Co. Sligo",30517
"086 Clonmel West Urban, South Tipperary",30489
"103 Tullig, Co. Clare",30478
"086 Kilballyowen, Co. Clare",30457
"122 Caherhurley, Co. Clare",30401
"301 Kilfaughnabeg, Co. Cork",30386
"009 Newtowngore, Co. Leitrim",30382
"036 Crossna, Co. Roscommon",30358
"025 Farranferris B, Cork City",30348
"097 Ballyduff, Co. Kerry",30337
"036 Rinvyle, Co. Galway",30337
"041 Ard an Rátha, Co. Donegal",30311
"004 Abbey D, Limerick City",30288
"018 Eanymore, Co. Donegal",30250
"022 Portmagee, Co. Kerry",30247
"113 Kilshenane, Co. Kerry",30199
"021 Fair Hill A, Cork City",30181
"216 Tuam Urban, Co. Galway",30167
"073 Galbally, Co. Limerick",30159
"066 Lismore Urban, Co. Waterford",30137
"043 Glenaniff, Co. Leitrim",30132
"107 Gullane, Co. Kerry",30120
"078 Fahan, Co. Donegal",30119
"008 Attymass East, Co. Mayo",30116
"026 John's C, Limerick City",30089
"107 Inchicore B, Dublin City",30084
"120 Kilmacrenan, Co. Donegal",30066
"087 Kilfearagh, Co. Clare",30062
"042 Mealagh, Co. Cork",30036
"152 Poyntstown, South Tipperary",30034
"018 Buncrowey, Co. Sligo",30017
"002 Listowel Urban, Co. Kerry",29999
"067 Cloonfower, Co. Roscommon",29948
"024 Aghafin, Co. Roscommon",29944
"121 Cnoc Colbha, Co. Donegal",29915
"089 Killard, Co. Clare",29896
"061 Lurraga, Co. Clare",29894
"110 Strokestown, Co. Roscommon",29890
"047 Adrigole, Co. Cork",29871
"054 Barr Rúscaí, Co. Mayo",29869
"104 Fethard, South Tipperary",29837
"061 Bellanagare, Co. Roscommon",29798
"049 Gleann Cholm Cille, Co. Donegal",29796
"003 Trim Urban, Co. Meath",29764
"058 Cappoquin, Co. Waterford",29740
"022 Doogary, Co. Cavan",29739
"038 Cill Maoilchéadair, Co. Kerry",29721
"041 Ballinamuck West, Co. Longford",29719
"026 Rathdowney, Co. Laois",29693
"036 Singland A, Limerick City",29692
"095 Whitecastle, Co. Donegal",29629
"135 Convoy, Co. Donegal",29544
"052 An Geata Mór Theas, Co. Mayo",29532
"001 Ballybeg North, Waterford City",29507
"106 Roscommon Urban, Co. Roscommon",29472
"053 Tumna North, Co. Roscommon",29452
"119 Milane, Co. Cork",29437
"004 Monaghan Urban, Co. Monaghan",29349
"015 Bandon, Co. Cork",29333
"002 Athy West Urban, Co. Kildare",29301
"126 Ros Goill, Co. Donegal",29284
"002 Athlone West Urban, Co. Westmeath",29227
"058 Loughbrin, Co. Kerry",29225
"073 Island, Co. Galway",29223
"097 Knock North, Co. Mayo",29213
"149 Newport West, Co. Mayo",29206
"174 Rowls, Co. Cork",29194
"312 Crookhaven, Co. Cork",29184
"102 Ballynagar, Co. Galway",29168
"098 Moyarta, Co. Clare",29149
"056 Shandon B, Cork City",29129
999 Doire Ianna / Cloon,29102
"074 Mountjoy B, Dublin City",29090
"005 Kilrush Urban, Co. Clare",29061
"017 Grange North, Waterford City",29061
"028 Letterbrick, Co. Mayo",29043
"016 Dock C, Limerick City",29022
"076 Desertegny, Co. Donegal",29013
"018 Ballymun D, Dublin City",29001
"083 Carrick-on-Suir Urban, South Tipperary",28987
"066 Ardmalin, Co. Donegal",28935
"158 Leitir Móir, Co. Galway",28934
"002 Sligo North, Co. Sligo",28921
"009 Skibbereen Urban, Co. Cork",28871
"032 Inishbofin, Co. Galway",28823
"062 Málainn Bhig, Co. Donegal",28800
"019 Loch Luíoch, Co. Kerry",28799
"009 Derreen, Co. Clare",28780
"073 Loughglinn, Co. Roscommon",28728
"026 Drummullagh, Co. Louth",28721
"039 Anagaire, Co. Donegal",28708
"084 Cashel Urban, South Tipperary",28699
"002 Graigue Urban, Co. Carlow",28645
"161 An Turlach, Co. Galway",28637
"041 Kilcolagh, Co. Roscommon",28632
"149 Loughea, Co. Clare",28626
"061 Cnoc na Lobhar, Co. Mayo",28625
"034 Bantry Urban, Co. Cork",28581
"006 Garadice, Co. Leitrim",28571
"310 Ballydehob, Co. Cork",28553
"004 Ballintra, Co. Donegal",28546
"050 Killoe, Co. Longford",28533
"043 Cró Chaorach, Co. Donegal",28530
"001 Carlow Urban, Co. Carlow",28511
"089 Elphin, Co. Roscommon",28488
"063 Na Monga, Co. Mayo",28466
"002 Ballina Urban, Co. Mayo",28451
"033 An Cnoc Buí, Co. Galway",28440
"060 Cnoc an Daimh, Co. Mayo",28439
"101 Rahona, Co. Clare",28431
"110 Killehenny, Co. Kerry",28429
"047 Abhainn Bhrain, Co. Mayo",28372
"145 Royal Exchange B, Dublin City",28367
"073 Castlecary, Co. Donegal",28355
"035 Dún Lúiche, Co. Donegal",28348
"083 Dowra, Co. Cavan",28315
"042 Cró Bheithe, Co. Donegal",28295
"036 Sonnagh, Co. Longford",28284
"088 Tipperary West Urban, South Tipperary",28269
"058 South Gate B, Cork City",28257
"048 Bear, Co. Cork",28228
"128 Rathkeale Urban, Co. Limerick",28217
"128 Ballycroy North, Co. Mayo",28199
"011 Blackpool A, Cork City",28150
"033 Moyne, Co. Longford",28144
"046 Mayfield, Cork City",28132
"005 Wexford No. 2 Urban, Co. Wexford",28079
"041 Kilcaskan, Co. Cork",28049
999 Lisgarve / Mantua,28044
"053 Árainn, Co. Galway",28036
"071 Carndonagh, Co. Donegal",28029
"001 Ardnaree South Urban, Co. Mayo",28010
"318 Skull, Co. Cork",27958
"098 Knock South, Co. Mayo",27945
"009 Foxhall, Co. Longford",27895
"046 Ardea, Co. Kerry",27895
"007 Caher, Co. Kerry",27889
"115 Fánaid Thiar, Co. Donegal",27889
"133 An Corrán, Co. Mayo",27884
999 Lough Allen / Altagowlan,27877
"080 Gleneely, Co. Donegal",27872
"006 Ballyshannon Urban, Co. Donegal",27828
"042 Márthain, Co. Kerry",27810
"047 An Clochán Liath, Co. Donegal",27767
"005 Dundalk Urban No. 2, Co. Louth",27765
"050 Templederry, North Tipperary",27704
"004 Dundalk Urban No. 1, Co. Louth",27699
"082 Greencastle, Co. Donegal",27699
"146 St. Johnstown, Co. Donegal",27694
"038 Mín an Chladaigh, Co. Donegal",27608
"053 An Ghrafaidh, Co. Donegal",27601
"023 Lisduggan, Waterford City",27534
"032 Na Croisbhealaí, Co. Donegal",27533
"076 Raheen, Co. Galway",27523
"056 Cill Ghabhlaigh, Co. Donegal",27515
"051 Cootehill Urban, Co. Cavan",27481
"084 Inch Island, Co. Donegal",27481
"033 Roanmore, Waterford City",27472
"313 Dunbeacon, Co. Cork",27451
"111 Doocastle, Co. Mayo",27449
"068 Birdstown, Co. Donegal",27444
"057 Ballaghaderreen, Co. Roscommon",27438
"033 Baile an Chalaidh, Co. Mayo",27427
"001 Dungarvan No. 1 Urban, Co. Waterford",27367
"129 Ballycroy South, Co. Mayo",27366
"060 Baslick, Co. Roscommon",27361
"060 Sneem, Co. Kerry",27322
999 Greaghglass / Stralongford,27320
"004 Ennis No. 4 Urban, Co. Clare",27312
"053 Kilnamanagh, Co. Cork",27299
"008 Bilberry, Waterford City",27299
999 Templeport / Benbrack,27281
"056 Kilfenora, Co. Clare",27241
"116 Glen, Co. Donegal",27219
"017 Killinane, Co. Kerry",27206
"035 Abhainn Ghabhla, Co. Galway",27203
"060 Carrigallen East, Co. Leitrim",27181
"016 Ballymagauran, Co. Cavan",27129
"007 Ballynanty, Limerick City",27081
"037 Cloonclare, Co. Leitrim",27063
"002 New Ross Urban, Co. Wexford",27052
"026 Morrisson's Avenue West, Waterford City",27052
"003 Rosbercon Urban, Co. Wexford",27022
"035 Slievekeale, Waterford City",26987
"051 Cloghaun, Co. Clare",26984
"023 Glentworth C, Limerick City",26972
999 Killinagh / Teebane,26967
"134 Clonleigh South, Co. Donegal",26951
"024 Easky East, Co. Sligo",26941
"001 Ceannanus Mór (Kells) Urban, Co. Meath",26918
"123 Urlaur, Co. Mayo",26894
"064 Inis Mhic an Doirn, Co. Donegal",26837
"099 Mountcollins, Co. Limerick",26805
"036 Gort an Choirce, Co. Donegal",26793
"049 Coulagh, Co. Cork",26735
999 Corlea / Cahermurphy,26664
"074 Glendarragh, Co. Sligo",26639
"142 Kilgeever, Co. Mayo",26638
"111 Carraig Airt, Co. Donegal",26604
"022 Larchville, Waterford City",26568
"023 Kilfian West, Co. Mayo",26528
"037 Cloch na Rón, Co. Galway",26522
"054 Glanmore, Co. Kerry",26491
"012 An Bhinn Bhán, Co. Donegal",26486
"075 Culdaff, Co. Donegal",26485
"074 Mohill, Co. Leitrim",26468
"072 Carthage, Co. Donegal",26458
"031 Prospect B, Limerick City",26457
"001 Cavan Urban, Co. Cavan",26423
"154 Garmna, Co. Galway",26410
"026 Lackan North, Co. Mayo",26406
"069 Edmondstown, Co. Roscommon",26366
"023 Kinawley, Co. Cavan",26300
"024 Military Road, Waterford City",26298
"028 Killeely B, Limerick City",26279
"001 Buncrana Urban, Co. Donegal",26134
"130 Castlefinn, Co. Donegal",26115
"032 Rathbane, Limerick City",26065
"087 Malin, Co. Donegal",26065
"027 Killeely A, Limerick City",26009
"011 Ballycastle, Co. Mayo",26009
"002 Bundoran Urban, Co. Donegal",25994
"145 Raphoe, Co. Donegal",25987
"031 An Craoslach, Co. Donegal",25986
"025 Morrisson's Avenue East, Waterford City",25922
"079 Owenmore, Co. Sligo",25916
"066 Corriga, Co. Leitrim",25878
"064 Cnoc na Ráithe, Co. Mayo",25872
"038 Glanlough, Co. Cork",25803
"077 Dunaff, Co. Donegal",25803
"152 Slievemore, Co. Mayo",25796
"059 Leitir Mhic an Bhaird, Co. Donegal",25781
"015 Dock B, Limerick City",25765
"122 Tumgesh, Co. Mayo",25722
"024 Farranferris A, Cork City",25667
"161 Wood Quay A, Dublin City",25627
"029 Market, Limerick City",25627
"070 Burt, Co. Donegal",25526
"091 Redcastle, Co. Donegal",25463
"020 Galvone B, Limerick City",25425
"022 Binn an Choire, Co. Galway",25412
"031 Boyle Urban, Co. Roscommon",25299
"014 Bunaveela, Co. Mayo",25271
"008 Cathair Dónall, Co. Kerry",25215
"026 Swanlinbar, Co. Cavan",25180
"062 Moing na Bó, Co. Mayo",25176
"033 Mullyash, Co. Monaghan",25176
"108 Cloonmore, Co. Mayo",25123
999 Pedara Vohers / Tircahan,25107
"092 Straid, Co. Donegal",25107
"054 Derrygorry, Co. Monaghan",25107
"031 Park, Waterford City",25105
"021 Kingsmeadow, Waterford City",25073
"085 Kilderry, Co. Donegal",25045
"006 Wexford No. 3 Urban, Co. Wexford",25017
"026 Yugan, Co. Leitrim",25014
"087 Tipperary East Urban, South Tipperary",24945
"010 Oughteragh, Co. Leitrim",24913
"089 Moville, Co. Donegal",24811
"088 Tuam, Co. Cavan",24734
"124 Acaill, Co. Mayo",24653
"086 Killea, Co. Donegal",24648
999 Garvagh / Arigna,24562
"024 John's A, Limerick City",24527
"081 Glentogher, Co. Donegal",24510
"005 Drumreilly South, Co. Leitrim",24490
"093 Three Trees, Co. Donegal",24489
"035 Gurranebraher B, Cork City",24437
"038 Sillerna, Co. Galway",24435
999 Dunmakeever / Derrynananta,24331
